	YEAR	MONTH	DAY	HOUR	MIN	  LAT	LON	P_hail_BC2019	MIN10PCT	MIN19PCT	MIN37PCT	MIN85PCT	FLAG
	2014	12	21	06	03	 -16.93	 141.59	0.232		297.1839	268.9423	207.2805	 90.4851	1
	2014	12	21	06	04	 -18.48	 139.01	0.306		297.2483	265.9030	204.8827	 69.5098	1
	2014	12	21	07	39	 -28.02	 124.84	0.320		300.9795	257.8116	207.1184	114.3850	1
	2014	12	23	05	53	 -15.98	 134.89	0.231		290.6447	268.6273	208.0678	 78.2533	1
	2014	12	23	05	53	 -17.28	 136.96	0.208		304.9714	269.2787	214.2059	 90.2322	1
	2014	12	23	05	58	 -33.34	 146.42	0.592		294.7231	254.9315	191.0605	 87.4598	1
	2014	12	29	03	54	 -38.67	 148.41	0.243		270.6291	265.1345	224.4114	143.4216	0
	2014	12	31	13	28	 -16.51	 143.14	0.344		287.0195	264.4639	196.8151	 83.2525	1
	2015	01	03	13	55	 -15.99	 124.36	0.284		283.1594	269.6043	194.7195	 70.8823	1
	2015	01	14	09	00	 -26.65	 149.39	0.219		281.4474	269.1143	206.0678	 88.2669	1
	2015	01	14	09	00	 -25.21	 148.62	0.247		286.3703	267.3374	207.3874	 99.7901	1
	2015	01	16	08	50	 -21.24	 142.96	0.296		300.7338	269.7435	190.2585	 80.5390	1
	2015	01	16	08	51	 -22.14	 146.04	0.232		295.2277	271.1835	205.5989	 90.3978	1
	2015	01	16	08	51	 -18.70	 145.97	0.278		284.1401	267.6771	205.2983	 70.9706	1
	2015	01	18	08	42	 -12.24	 142.53	0.277		294.8601	263.1285	208.5767	 64.3142	1
	2015	01	18	08	42	 -15.17	 144.77	0.284		291.7061	267.5912	199.0082	 69.3434	1
	2015	01	20	06	55	 -24.22	 148.71	0.211		282.2767	263.4617	214.8459	133.9457	0
	2015	01	20	21	45	 -18.02	 127.41	0.229		288.3762	265.5241	212.1881	100.9061	1
	2015	01	21	07	37	 -19.04	 142.94	0.288		287.4530	267.5540	197.6900	 71.9207	1
	2015	01	21	07	38	 -18.26	 146.52	0.290		284.3882	267.6172	198.6609	 78.9598	1
	2015	01	21	20	53	 -16.49	 136.76	0.372		284.1657	265.2969	185.8730	 71.4934	1
	2015	01	21	20	53	 -15.99	 138.14	0.270		281.9254	270.6729	193.3071	 64.1006	1
	2015	01	21	20	54	 -15.86	 139.18	0.390		278.2155	265.5665	182.2243	 60.1632	1
	2015	01	22	06	44	 -22.57	 145.80	0.345		292.9248	265.6431	197.0091	 78.2615	1
	2015	01	24	06	34	 -20.25	 148.00	0.218		289.3010	270.6121	209.2385	 61.2015	1
	2015	01	24	08	08	 -14.78	 126.54	0.242		303.2988	268.6630	213.2514	 84.4283	1
	2015	01	24	08	08	 -14.20	 127.28	0.341		298.6306	266.5891	183.8578	 59.1452	1
	2015	01	24	21	25	 -21.59	 122.64	0.677		287.7169	254.7301	170.6817	 63.8417	1
	2015	01	25	05	40	 -24.31	 151.98	0.668		285.6853	254.7351	162.1370	 61.4741	1
	2015	01	25	05	41	 -21.09	 148.86	0.218		288.0220	270.4524	201.7475	 83.8398	1
	2015	01	25	07	14	 -16.84	 129.38	0.616		284.0289	255.9203	184.0634	 69.1261	1
	2015	01	25	07	15	 -15.94	 128.76	0.236		298.1246	270.0358	216.5557	 95.1562	1
	2015	01	25	07	15	 -14.74	 127.15	0.314		289.5397	265.8309	201.9416	 71.7978	1
	2015	01	27	05	28	 -27.28	 148.24	0.256		294.8102	270.0089	204.6258	 86.4062	1
	2015	01	27	05	28	 -24.89	 147.06	0.559		287.2193	257.2475	183.9252	 88.3762	1
	2015	01	27	05	28	 -24.20	 146.72	0.301		300.0492	265.1689	211.8096	134.7321	0
	2015	01	27	07	04	 -14.99	 129.72	0.206		289.6889	271.3727	201.9502	 71.0030	1
	2015	01	30	05	58	 -22.60	 123.80	0.308		312.9234	267.1133	187.4602	 84.5234	1
	2015	01	31	20	00	 -26.52	 113.15	0.243		274.0387	264.8493	207.0314	 89.3790	1
	2015	02	12	15	47	 -17.99	 121.50	0.461		278.6799	261.5208	186.6735	 88.2544	1
